Timestamp|Actor|Action|TargetID
2026-03-28 23:19:05|admin|LOGIN|Role:Admin
2026-03-28 23:19:32|admin|LOGOUT|-
2026-03-28 23:20:29|system|SIGNUP|UserID:2(testuser)
2026-03-28 23:20:43|testuser|LOGIN|Role:User
2026-03-28 23:23:33|testuser|SUBMIT_SPOT|PendingID:1(Alikodom circuit)
2026-03-28 23:23:51|testuser|LOGOUT|-
2026-03-28 23:24:01|admin|LOGIN|Role:Admin
2026-03-28 23:24:18|admin|APPROVE_SPOT|NewID:5(Alikodom circuit),By:testuser
2026-03-28 23:24:55|admin|LOGOUT|-
2026-04-12 01:34:27|system|SIGNUP|UserID:3(arif)
2026-04-12 01:36:27|arif|LOGIN|Role:User
2026-04-12 01:39:39|arif|LOGOUT|-
2026-04-12 01:39:48|admin|LOGIN|Role:Admin
2026-04-12 02:09:47|admin|LOGOUT|-
2026-04-18 13:52:43|admin|LOGIN|Role:Admin
2026-04-18 13:52:53|admin|LOGOUT|-
2026-04-18 14:14:41|system|SIGNUP|UserID:4(hotelmanager),Role:HotelManager
2026-04-18 14:14:52|admin|LOGIN|Role:Admin
2026-04-18 14:15:23|admin|LOGOUT|-
2026-04-18 14:15:29|hotelmanager|LOGIN|Role:HotelManager
2026-04-18 14:16:54|hotelmanager|SUBMIT_HOTEL|PendingID:1(Palongkhiyang jumghor),SpotID:5
2026-04-18 14:17:37|hotelmanager|LOGOUT|-
2026-04-18 14:17:42|admin|LOGIN|Role:Admin
2026-04-18 14:18:03|admin|LOGOUT|-
2026-04-18 14:18:11|hotelmanager|LOGIN|Role:HotelManager
2026-04-18 14:19:06|hotelmanager|SUBMIT_HOTEL|PendingID:2(Royal Resort),SpotID:3
2026-04-18 14:19:08|hotelmanager|LOGOUT|-
2026-04-18 14:19:13|admin|LOGIN|Role:Admin
2026-04-18 14:19:27|admin|APPROVE_HOTEL|NewID:6(Palongkhiyang jumghor),Manager:hotelmanager
2026-04-18 14:19:40|admin|LOGOUT|-
2026-04-18 14:19:46|arif|LOGIN|Role:User
2026-04-18 14:20:24|arif|BOOK_HOTEL|BookingID:1,HotelID:6(Palongkhiyang jumghor),Nights:2
2026-04-18 14:21:32|arif|LOGOUT|-
2026-04-18 14:21:37|hotelmanager|LOGIN|Role:HotelManager
2026-04-18 14:21:55|hotelmanager|APPROVE_BOOKING|BookingID:1,Guest:arif,HotelID:6
2026-04-18 14:22:06|hotelmanager|LOGOUT|-
2026-04-18 14:22:14|arif|LOGIN|Role:User
2026-04-18 14:23:02|arif|COST_CALC|Spot:5,Hotel:6,Nights:2,Total:400
2026-04-18 14:23:25|arif|LOGOUT|-
